time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	0	0	0	lidar	0	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.31192	0.19116	10.3224	0	0	radar	0.468469	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	1.13899	0.486621	10.3224	0	0	lidar	1.26379	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.1103	0.455802	10.2933	-0.163257	0	radar	0.520884	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.33739	0.552187	10.2938	-0.160305	0	lidar	8.06647	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.37456	0.506021	10.2789	-0.3469	0	radar	6.32436	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	1.58626	0.589907	10.279	-0.347651	0	lidar	22.1794	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	1.60891	0.5655	10.2826	-0.593148	0	radar	7.01785	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	1.8053	0.638451	10.2822	-0.593255	0	lidar	39.6492	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	1.8546	0.620441	10.302	-0.695175	0	radar	26.7088	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	2.02286	0.678912	10.301	-0.695609	0	lidar	50.8718	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	2.07472	0.653486	10.3256	-0.731957	0	radar	58.572	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	2.27986	0.714923	10.3206	-0.735682	0	lidar	136.583	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	2.33369	0.708657	10.2773	-0.733074	0	radar	58.0827	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	2.53305	0.771052	10.2693	-0.734206	0	lidar	157.085	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443750000	2.58403	0.76584	10.2711	-0.747987	0	radar	67.4018	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443800000	2.74738	0.820046	10.2642	-0.747104	0	lidar	126.469	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
1477010443850000	2.8009	0.815981	10.2845	-0.766052	0	radar	91.2136	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
1477010443900000	3.01497	0.879589	10.2718	-0.767237	0	lidar	304.208	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
1477010443950000	3.05657	0.875927	10.2201	-0.763422	0	radar	78.7964	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868
1477010444000000	3.26741	0.937327	10.2047	-0.764484	0	lidar	364.747	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
